Krajina,Cena v â‚¬/l paliva (Diesel)
Venezuela,0.004
Iran,0.005
Libya,0.025
Algeria,0.199
Egypt,0.241
Turkmenistan,0.262
Angola,0.300
Kuwait,0.342
Saudi Arabia,0.405
Ecuador,0.436
Bahrain,0.438
Bolivia,0.493
Kazakhstan,0.508
Qatar,0.516
Azerbaijan,0.539
Nigeria,0.591
Colombia,0.594
Trinidad & Tobago,0.596
Sudan,0.601
Lebanon,0.602
Oman,0.615
Malaysia,0.620
Syria,0.622
UAE,0.657
Vietnam,0.663
Tunisia,0.665
Belarus,0.706
Puerto Rico,0.729
Afghanistan,0.736
Ethiopia,0.747
Panama,0.747
Russia,0.751
Bhutan,0.753
Burma,0.754
Kyrgyzstan,0.769
Taiwan,0.775
Honduras,0.782
Laos,0.788
Indonesia,0.788
Bangladesh,0.792
Paraguay,0.823
Maldives,0.829
El Salvador,0.829
Thailand,0.844
Pakistan,0.845
Cambodia,0.848
Curacao,0.849
Philippines,0.849
Dom. Rep.,0.853
Guatemala,0.856
Liberia,0.859
Uzbekistan,0.863
Guyana,0.867
Jordan,0.880
Gabon,0.881
USA,0.881
Peru,0.883
China,0.896
Chile,0.901
Ghana,0.912
Fiji,0.932
Australia,0.933
DR Congo,0.940
India,0.965
Botswana,0.974
Canada,0.974
New Zealand,0.975
Namibia,0.976
Madagascar,0.978
Brazil,0.981
Zambia,0.991
Lesotho,0.992
Georgia,0.997
Tanzania,1.000
Cuba,1.005
Nepal,1.008
Swaziland,1.013
Cape Verde,1.017
Moldova,1.019
Sri Lanka,1.019
Japan,1.021
South Africa,1.022
Burkina Faso,1.034
Morocco,1.056
Togo,1.064
Grenada,1.065
South Korea,1.067
Turkey,1.068
Costa Rica,1.070
Rwanda,1.071
Ivory Coast,1.072
Nicaragua,1.078
Uruguay,1.092
Mongolia,1.094
Jamaica,1.097
Aruba,1.099
Suriname,1.102
Benin,1.103
Dominica,1.110
Mali,1.110
N. Maced.,1.117
Haiti,1.147
Mexico,1.152
Argentina,1.152
Senegal,1.156
Kenya,1.174
Bahamas,1.190
Mauritius,1.198
Armenia,1.203
Malta,1.210
Cayman Islands,1.219
Bosnia & Herz.,1.222
Burundi,1.230
Uganda,1.231
Saint Lucia,1.232
Andorra,1.233
Mozambique,1.245
Cameroon,1.268
Bulgaria,1.268
Ukraine,1.270
Guinea,1.271
Sierra Leone,1.277
Seychelles,1.322
Montenegro,1.360
Czech Republic,1.360
Zimbabwe,1.394
Luxembourg,1.403
Belize,1.417
Spain,1.422
Poland,1.428
Malawi,1.445
Mayotte,1.450
Romania,1.465
Cyprus,1.475
Slovakia,1.479
Estonia,1.482
Sweden,1.488
Croatia,1.494
Barbados,1.512
Hungary,1.516
Slovenia,1.517
San Marino,1.518
Austria,1.528
Lithuania,1.539
Greece,1.551
Latvia,1.552
Germany,1.585
Portugal,1.587
Norway,1.604
Belgium,1.614
Monaco,1.629
France,1.630
UK,1.663
Italy,1.664
Netherlands,1.669
Serbia,1.672
Wallis and Futuna,1.691
Singapore,1.707
Finland,1.731
Ireland,1.734
Israel,1.740
Albania,1.760
Denmark,1.860
Switzerland,1.959
Liechtenstein,1.994
C. Afr. Rep.,2.067
Iceland,2.223
Hong Kong,3.075
