Brand,Model,Range (km),Efficiency (Wh/km),Battery (kWh)
Polestar,3 Long Range Dual motor,485 km,221 Wh/km,"107,0 kWh"
Alfa,Romeo Junior Elettrica 54 kWh,320 km,159 Wh/km,"50,8 kWh"
Audi,Q6 e-tron,395 km,192 Wh/km,"75,8 kWh"
Lancia,Ypsilon,310 km,155 Wh/km,"48,1 kWh"
XPENG,P7 Wing Edition,455 km,182 Wh/km,"82,7 kWh"
Volkswagen,ID.4 GTX,420 km,183 Wh/km,"77,0 kWh"
Nissan,Leaf 24 kWh,135 km,163 Wh/km,"22,0 kWh"
Kia,EV9 99.8 kWh RWD,450 km,213 Wh/km,"96,0 kWh"
Opel,Ampera-e,335 km,173 Wh/km,"58,0 kWh"
Volkswagen,ID.3 Pro,350 km,166 Wh/km,"58,0 kWh"
Volkswagen,ID.4 GTX,400 km,193 Wh/km,"77,0 kWh"
BMW,i3 60 Ah,115 km,163 Wh/km,"18,8 kWh"
Volkswagen,ID.3 GTX,460 km,172 Wh/km,"79,0 kWh"
Peugeot,e-308,300 km,169 Wh/km,"50,8 kWh"
Smart,#3 Premium,355 km,175 Wh/km,"62,0 kWh"
Lucid,Air Touring,580 km,159 Wh/km,"92,0 kWh"
Tesla,Model S 70D,350 km,190 Wh/km,"66,5 kWh"
Polestar,2 Standard Range Single Motor,415 km,164 Wh/km,"68,0 kWh"
Mercedes-Benz,EQE 350 4MATIC,510 km,175 Wh/km,"89,0 kWh"
Tesla,Model X P100D,420 km,226 Wh/km,"95,0 kWh"
Nissan,e-NV200 Evalia,170 km,218 Wh/km,"37,0 kWh"
Seres,3,260 km,196 Wh/km,"51,0 kWh"
VinFast,VF 9 Extended Range,515 km,239 Wh/km,"123,0 kWh"
Cadillac,Lyriq 600 E4,460 km,222 Wh/km,"102,0 kWh"
MG,Marvel R Performance,350 km,200 Wh/km,"70,0 kWh"
Peugeot,e-208 50 kWh,290 km,160 Wh/km,"46,3 kWh"
BMW,i5 eDrive40 Touring,455 km,178 Wh/km,"81,2 kWh"
Renault,5 E-Tech 40kWh 120hp,250 km,160 Wh/km,"40,0 kWh"
Alpine,A290 Electric 220 hp,305 km,170 Wh/km,"52,0 kWh"
Mercedes-Benz,EQV 300 Long,310 km,290 Wh/km,"90,0 kWh"
Polestar,2 Long Range Dual Motor,450 km,176 Wh/km,"79,0 kWh"
Audi,e-tron Sportback 55 quattro,380 km,228 Wh/km,"86,5 kWh"
Skoda,Enyaq iV 80x,425 km,181 Wh/km,"77,0 kWh"
Mercedes-Benz,EQB 350 4MATIC,340 km,196 Wh/km,"66,5 kWh"
Kia,EV6 GT,385 km,208 Wh/km,"80,0 kWh"
Mini,Cooper E,250 km,146 Wh/km,"36,6 kWh"
Volkswagen,ID.4 Pure,285 km,182 Wh/km,"52,0 kWh"
Volvo,XC40 Recharge Single Motor ER,400 km,198 Wh/km,"79,0 kWh"
Nissan,Leaf 30 kWh,170 km,165 Wh/km,"28,0 kWh"
Tesla,Model S P90D,415 km,206 Wh/km,"85,5 kWh"
BYD,DOLPHIN 44.9 kWh Active,265 km,169 Wh/km,"44,9 kWh"
Opel,Corsa-e,285 km,162 Wh/km,"46,3 kWh"
BMW,i7 M70 xDrive,490 km,208 Wh/km,"101,7 kWh"
Nissan,Leaf,125 km,176 Wh/km,"22,0 kWh"
Volkswagen,ID. Buzz LWB GTX,355 km,242 Wh/km,"86,0 kWh"
Mini,Aceman SE,290 km,170 Wh/km,"49,2 kWh"
Mercedes-Benz,EQS 450+,635 km,171 Wh/km,"108,4 kWh"
XPENG,G9 RWD Standard Range,395 km,192 Wh/km,"75,8 kWh"
Volkswagen,ID.3 Pure Performance,275 km,164 Wh/km,"45,0 kWh"
Volkswagen,ID.4 1st,410 km,188 Wh/km,"77,0 kWh"
Lexus,RZ 300e,365 km,175 Wh/km,"64,0 kWh"
Smart,EQ forfour,95 km,176 Wh/km,"16,7 kWh"
Volkswagen,ID.4 Pro,410 km,188 Wh/km,"77,0 kWh"
Maserati,GranTurismo Folgore,420 km,198 Wh/km,"83,0 kWh"
Dongfeng,Box 31.4 kWh,190 km,153 Wh/km,"29,0 kWh"
Zeekr,7X Premium RWD,390 km,182 Wh/km,"71,0 kWh"
Lexus,UX 300e,340 km,188 Wh/km,"64,0 kWh"
NIO,ET7 Long Range,505 km,178 Wh/km,"90,0 kWh"
Renault,Kangoo E-Tech Electric,225 km,200 Wh/km,"45,0 kWh"
Audi,e-tron GT S,540 km,180 Wh/km,"97,0 kWh"
Hyundai,IONIQ 5 Long Range AWD,365 km,192 Wh/km,"70,0 kWh"
Mercedes-Benz,EQE 300,525 km,170 Wh/km,"89,0 kWh"
Audi,Q4 e-tron 35,285 km,182 Wh/km,"52,0 kWh"
Renault,Scenic E-Tech EV60 170hp,340 km,176 Wh/km,"60,0 kWh"
Renault,Megane E-Tech EV60 130hp,380 km,158 Wh/km,"60,0 kWh"
Mazda,MX-30,170 km,176 Wh/km,"30,0 kWh"
Mercedes-Benz,EQE SUV 350 4MATIC,425 km,209 Wh/km,"89,0 kWh"
Nissan,Leaf e+,340 km,174 Wh/km,"59,0 kWh"
Mercedes-Benz,EQB 350 4MATIC,345 km,193 Wh/km,"66,5 kWh"
Volkswagen,ID. Buzz NWB Pro,360 km,219 Wh/km,"79,0 kWh"
Polestar,2 Long Range Dual Motor,455 km,174 Wh/km,"79,0 kWh"
Kia,e-Niro 64 kWh,375 km,171 Wh/km,"64,0 kWh"
Audi,A6 Sportback e-tron,485 km,156 Wh/km,"75,8 kWh"
Audi,A6 Avant e-tron,475 km,160 Wh/km,"75,8 kWh"
Renault,Zoe ZE40 R110,255 km,161 Wh/km,"41,0 kWh"
Jaguar,I-Pace EV400,380 km,223 Wh/km,"84,7 kWh"
Mini,Aceman E,230 km,167 Wh/km,"38,5 kWh"
Volvo,EX30 Cross Country,320 km,200 Wh/km,"64,0 kWh"
Mercedes-Benz,EQS SUV Maybach 680,490 km,241 Wh/km,"118,0 kWh"
Audi,e-tron 50 quattro,280 km,231 Wh/km,"64,7 kWh"
Maserati,Grecale Folgore,400 km,238 Wh/km,"95,0 kWh"
Tesla,Model 3 Long Range RWD,495 km,152 Wh/km,"75,0 kWh"
Audi,e-tron 55 quattro,365 km,237 Wh/km,"86,5 kWh"
BMW,i7 eDrive50,520 km,196 Wh/km,"101,7 kWh"
Kia,EV4 Sedan Standard Range,355 km,155 Wh/km,"55,0 kWh"
Mini,Countryman SE ALL4,365 km,177 Wh/km,"64,6 kWh"
Skoda,Enyaq Coupe 85x,465 km,166 Wh/km,"77,0 kWh"
Renault,Kangoo Maxi ZE 33,160 km,194 Wh/km,"31,0 kWh"
Porsche,Taycan 4 Cross Turismo,420 km,199 Wh/km,"83,7 kWh"
Polestar,3 Long Range Performance,470 km,228 Wh/km,"107,0 kWh"
Audi,Q4 e-tron 55 quattro,395 km,195 Wh/km,"77,0 kWh"
Citroen,e-C4 54 kWh,335 km,152 Wh/km,"50,8 kWh"
BYD,SEAL 61.4 kWh RWD Comfort,370 km,166 Wh/km,"61,4 kWh"
Honda,e Advance,170 km,168 Wh/km,"28,5 kWh"
Mercedes-Benz,EQB 250,385 km,173 Wh/km,"66,5 kWh"
Polestar,2 Long Range Performance,450 km,176 Wh/km,"79,0 kWh"
Mercedes-Benz,EQE 350,515 km,173 Wh/km,"89,0 kWh"
BMW,iX M70 xDrive,500 km,218 Wh/km,"108,9 kWh"
Mercedes-Benz,EQE SUV 350+,475 km,202 Wh/km,"96,0 kWh"
Opel,Grandland 82 kWh,410 km,200 Wh/km,"82,2 kWh"
Mercedes-Benz,EQE 300,515 km,173 Wh/km,"89,0 kWh"
Lexus,UX 300e,235 km,191 Wh/km,"45,0 kWh"
Opel,Corsa Electric 50 kWh,295 km,157 Wh/km,"46,3 kWh"
Ford,Mustang Mach-E ER AWD,440 km,207 Wh/km,"91,0 kWh"
Porsche,Taycan,495 km,166 Wh/km,"82,3 kWh"
Kia,EV4 Hatchback Standard Range,340 km,162 Wh/km,"55,0 kWh"
Audi,Q8 e-tron 50 quattro,425 km,209 Wh/km,"89,0 kWh"
Mercedes-Benz,EQE SUV 350 4MATIC,435 km,208 Wh/km,"90,6 kWh"
Porsche,Taycan Turbo GT,475 km,204 Wh/km,"97,0 kWh"
BMW,iX3,385 km,192 Wh/km,"74,0 kWh"
Peugeot,e-408 58 kWh,375 km,155 Wh/km,"58,2 kWh"
Fisker,Ocean One,530 km,201 Wh/km,"106,5 kWh"
Opel,Mokka Electric,285 km,178 Wh/km,"50,8 kWh"
Audi,Q6 e-tron Sportback performance,510 km,186 Wh/km,"94,9 kWh"
Mercedes-Benz,EQE 500 4MATIC,505 km,179 Wh/km,"90,6 kWh"
Ford,Focus Electric,105 km,186 Wh/km,"19,6 kWh"
Renault,4 E-Tech 40kWh 120hp,245 km,163 Wh/km,"40,0 kWh"
Volkswagen,ID.7 GTX,485 km,177 Wh/km,"86,0 kWh"
Lightyear,0,550 km,109 Wh/km,"60,0 kWh"
Volvo,XC40 P8 AWD Recharge,335 km,224 Wh/km,"75,0 kWh"
Tesla,Model X Long Range,440 km,216 Wh/km,"95,0 kWh"
Kia,e-Soul 64 kWh,370 km,173 Wh/km,"64,0 kWh"
Volvo,C40 Recharge Twin Motor,400 km,198 Wh/km,"79,0 kWh"
Jaguar,I-Pace EV400,380 km,223 Wh/km,"84,7 kWh"
Nissan,Ariya e-4ORCE 87kWh - 225 kW,405 km,215 Wh/km,"87,0 kWh"
Mercedes-Benz,EQA 250,395 km,168 Wh/km,"66,5 kWh"
Lotus,Eletre R,455 km,240 Wh/km,"109,0 kWh"
Porsche,Taycan Turbo S,400 km,209 Wh/km,"83,7 kWh"
Mercedes-Benz,EQS SUV 580 4MATIC,530 km,223 Wh/km,"118,0 kWh"
Nissan,Townstar EV Passenger,225 km,200 Wh/km,"45,0 kWh"
Lotus,Emeya,520 km,190 Wh/km,"98,9 kWh"
Tesla,Model X Long Range Plus,480 km,204 Wh/km,"98,0 kWh"
Polestar,2 Standard Range Single Motor,345 km,177 Wh/km,"61,0 kWh"
Audi,Q8 e-tron Sportback 55 quattro,525 km,202 Wh/km,"106,0 kWh"
Volkswagen,ID.5 GTX,430 km,179 Wh/km,"77,0 kWh"
Toyota,PROACE Verso L 75 kWh,260 km,262 Wh/km,"68,0 kWh"
Tesla,Model X 90D,395 km,216 Wh/km,"85,5 kWh"
Hyundai,IONIQ 9 Performance AWD,470 km,226 Wh/km,"106,0 kWh"
Ford,Mustang Mach-E SR RWD,385 km,189 Wh/km,"72,6 kWh"
Renault,Zoe R90,255 km,161 Wh/km,"41,0 kWh"
Skoda,CITIGOe iV,205 km,158 Wh/km,"32,3 kWh"
Kia,EV6 Standard Range 2WD,305 km,177 Wh/km,"54,0 kWh"
Volvo,EX40 Twin Motor,385 km,205 Wh/km,"79,0 kWh"
Kia,Soul EV,170 km,176 Wh/km,"30,0 kWh"
MG,MG5 Electric Standard Range,265 km,174 Wh/km,"46,0 kWh"
NIO,EL6 Long Range,435 km,207 Wh/km,"90,0 kWh"
Skoda,Enyaq 85x,440 km,175 Wh/km,"77,0 kWh"
Porsche,Macan Turbo Electric,470 km,202 Wh/km,"95,0 kWh"
Mercedes-Benz,EQS 350,540 km,168 Wh/km,"90,6 kWh"
Volkswagen,ID.4 Pro 4MOTION,435 km,177 Wh/km,"77,0 kWh"
Mercedes-Benz,EQS 580 4MATIC,640 km,184 Wh/km,"118,0 kWh"
Skoda,Enyaq 60,355 km,166 Wh/km,"59,0 kWh"
Hyundai,Kona Electric 64 kWh,390 km,164 Wh/km,"64,0 kWh"
Ford,Mustang Mach-E ER AWD,440 km,207 Wh/km,"91,0 kWh"
Audi,Q4 Sportback e-tron 45,435 km,177 Wh/km,"77,0 kWh"
Audi,e-tron S Sportback,330 km,262 Wh/km,"86,5 kWh"
Aiways,U5,315 km,190 Wh/km,"60,0 kWh"
GWM,ORA 03 48 kWh,260 km,175 Wh/km,"45,4 kWh"
NIO,EL7 Long Range,430 km,209 Wh/km,"90,0 kWh"
Smart,ForTwo Electric Drive,100 km,167 Wh/km,"16,7 kWh"
Mercedes-Benz,EQE SUV 500 4MATIC,435 km,208 Wh/km,"90,6 kWh"
Renault,Zoe R110,250 km,164 Wh/km,"41,0 kWh"
Mercedes-Benz,EQA 350 4MATIC,350 km,190 Wh/km,"66,5 kWh"
SsangYong,Korando e-Motion,290 km,193 Wh/km,"56,0 kWh"
Hongqi,E-HS9 84 kWh,320 km,239 Wh/km,"76,5 kWh"
DS,3 E-Tense,300 km,169 Wh/km,"50,8 kWh"
Opel,Astra Sports Tourer Electric,310 km,164 Wh/km,"50,8 kWh"
Volkswagen,ID.3 Pro S,450 km,171 Wh/km,"77,0 kWh"
Volkswagen,ID.3 Pure Performance,275 km,164 Wh/km,"45,0 kWh"
Audi,e-tron GT RS performance,525 km,185 Wh/km,"97,0 kWh"
Ford,Explorer Extended Range RWD,450 km,176 Wh/km,"79,0 kWh"
Fiat,500e Hatchback 24 kWh,135 km,158 Wh/km,"21,3 kWh"
Audi,SQ6 e-tron,470 km,202 Wh/km,"94,9 kWh"
Ford,Mustang Mach-E ER AWD,440 km,207 Wh/km,"91,0 kWh"
Citroen,C-Zero,85 km,171 Wh/km,"14,5 kWh"
Mercedes-Benz,EQC 400 4MATIC,370 km,216 Wh/km,"80,0 kWh"
Tesla,Model X Performance,470 km,209 Wh/km,"98,0 kWh"
Genesis,G80 Electrified Luxury,440 km,188 Wh/km,"82,5 kWh"
Skoda,Enyaq 60,335 km,173 Wh/km,"58,0 kWh"
Audi,S6 Sportback e-tron,550 km,173 Wh/km,"94,9 kWh"
Kia,Soul EV,155 km,174 Wh/km,"27,0 kWh"
Peugeot,e-2008 50 kWh,270 km,171 Wh/km,"46,3 kWh"
Porsche,Taycan 4S Plus,565 km,172 Wh/km,"97,0 kWh"
Citroen,e-C4 X 54 kWh,330 km,154 Wh/km,"50,8 kWh"
Audi,e-tron Sportback 50 quattro,295 km,219 Wh/km,"64,7 kWh"
Porsche,Taycan GTS,450 km,186 Wh/km,"83,7 kWh"
Volvo,XC40 Recharge Twin Motor,385 km,205 Wh/km,"79,0 kWh"
Kia,e-Soul 64 kWh,370 km,173 Wh/km,"64,0 kWh"
Volvo,XC40 Recharge Pure Electric,305 km,220 Wh/km,"67,0 kWh"
Mercedes-Benz,EQS AMG 53 4MATIC+,585 km,202 Wh/km,"118,0 kWh"
Mercedes-Benz,EQA 300 4MATIC,350 km,190 Wh/km,"66,5 kWh"
Porsche,Taycan Turbo,415 km,202 Wh/km,"83,7 kWh"
Audi,Q4 Sportback e-tron 40,425 km,180 Wh/km,"76,6 kWh"
Smart,#1 Premium,335 km,185 Wh/km,"62,0 kWh"
Audi,e-tron GT RS,525 km,185 Wh/km,"97,0 kWh"
BMW,i3 94 Ah,165 km,165 Wh/km,"27,2 kWh"
BMW,i5 eDrive40 Touring,465 km,175 Wh/km,"81,2 kWh"
Kia,EV9 76.1 kWh RWD,355 km,206 Wh/km,"73,0 kWh"
Alfa,Romeo Junior Elettrica 54 kWh Veloce,310 km,164 Wh/km,"50,8 kWh"
Porsche,Macan 4S Electric,485 km,196 Wh/km,"95,0 kWh"
BMW,i5 eDrive40 Sedan,480 km,169 Wh/km,"81,2 kWh"
Citroen,e-C4,290 km,160 Wh/km,"46,3 kWh"
Renault,Megane E-Tech EV60 130hp,380 km,158 Wh/km,"60,0 kWh"
Volkswagen,ID.3 GTX Performance,460 km,172 Wh/km,"79,0 kWh"
Renault,Megane E-Tech EV40 130hp,260 km,154 Wh/km,"40,0 kWh"
Ford,Explorer Standard Range RWD,305 km,170 Wh/km,"52,0 kWh"
Audi,S6 Avant e-tron,525 km,181 Wh/km,"94,9 kWh"
Aiways,U6,350 km,171 Wh/km,"60,0 kWh"
NIO,ET5 Standard Range,410 km,179 Wh/km,"73,5 kWh"
Mercedes-Benz,EQE SUV 300,450 km,201 Wh/km,"90,6 kWh"
Tesla,Model S 60,345 km,180 Wh/km,"62,0 kWh"
Polestar,2 Standard Range Single Motor,405 km,165 Wh/km,"67,0 kWh"
Skoda,Enyaq iV 50,305 km,170 Wh/km,"52,0 kWh"
Genesis,GV60 Premium,390 km,190 Wh/km,"74,0 kWh"
Peugeot,e-308 SW,300 km,169 Wh/km,"50,8 kWh"
Porsche,Taycan 4S Plus,460 km,182 Wh/km,"83,7 kWh"
Volvo,XC40 Recharge Single Motor,340 km,194 Wh/km,"66,0 kWh"
Porsche,Taycan Turbo GT Weissach,475 km,204 Wh/km,"97,0 kWh"
Renault,Zoe R240,145 km,161 Wh/km,"23,3 kWh"
Volkswagen,ID.3 Pro Performance,350 km,166 Wh/km,"58,0 kWh"
Ford,Mustang Mach-E GT,425 km,214 Wh/km,"91,0 kWh"
Aiways,U5,315 km,190 Wh/km,"60,0 kWh"
MG,MG5 EV,290 km,168 Wh/km,"48,8 kWh"
Mercedes-Benz,EQB 300 4MATIC,340 km,196 Wh/km,"66,5 kWh"
Mercedes-Benz,EQE SUV 500 4MATIC,455 km,211 Wh/km,"96,0 kWh"
Mercedes-Benz,EQV 300 Long,315 km,286 Wh/km,"90,0 kWh"
Volkswagen,ID. Buzz NWB Pure,275 km,215 Wh/km,"59,0 kWh"
Polestar,2 Long Range Performance,450 km,176 Wh/km,"79,0 kWh"
Abarth,500e Hatchback,225 km,168 Wh/km,"37,8 kWh"
Porsche,Taycan Turbo S,525 km,185 Wh/km,"97,0 kWh"
NIO,ET5 Touring Long Range,485 km,186 Wh/km,"90,0 kWh"
Elaris,BEO 86 kWh,390 km,208 Wh/km,"81,0 kWh"
SEAT,Mii Electric,205 km,158 Wh/km,"32,3 kWh"
Lucid,Air Pure RWD,565 km,163 Wh/km,"92,0 kWh"
Mercedes-Benz,EQS 500 4MATIC,645 km,183 Wh/km,"118,0 kWh"
XPENG,P7 AWD Performance,460 km,180 Wh/km,"82,7 kWh"
Volvo,EC40 Single Motor,360 km,186 Wh/km,"67,0 kWh"
Volkswagen,e-Up!,100 km,160 Wh/km,"16,0 kWh"
Mercedes-Benz,eVito Tourer Long 90 kWh,310 km,290 Wh/km,"90,0 kWh"
Mercedes-Benz,EQA 300 4MATIC,350 km,190 Wh/km,"66,5 kWh"
Volvo,EX90 Single Motor,460 km,220 Wh/km,"101,0 kWh"
Porsche,Taycan 4S,490 km,168 Wh/km,"82,3 kWh"
Hongqi,E-HS9 120 kWh,460 km,243 Wh/km,"112,0 kWh"
Audi,Q4 Sportback e-tron 45 quattro,410 km,188 Wh/km,"77,0 kWh"
Mercedes-Benz,EQE 350 4MATIC,515 km,176 Wh/km,"90,6 kWh"
Fiat,500e Cabrio 42 kWh,230 km,162 Wh/km,"37,3 kWh"
Mercedes-Benz,EQS 500 4MATIC,590 km,184 Wh/km,"108,4 kWh"
Skoda,Enyaq Coupe 85,460 km,167 Wh/km,"77,0 kWh"
Audi,Q6 e-tron Sportback quattro,500 km,190 Wh/km,"94,9 kWh"
Porsche,Taycan 4 Cross Turismo,440 km,190 Wh/km,"83,7 kWh"
Porsche,Taycan Plus,475 km,176 Wh/km,"83,7 kWh"
Volkswagen,ID.5 Pro Performance,430 km,179 Wh/km,"77,0 kWh"
e.Go,e.wave X,150 km,180 Wh/km,"27,0 kWh"
Genesis,GV70 Electrified Sport,350 km,211 Wh/km,"74,0 kWh"
Tesla,Model S Standard Range,420 km,173 Wh/km,"72,5 kWh"
Mercedes-Benz,EQE AMG 43 4MATIC,455 km,199 Wh/km,"90,6 kWh"
Mercedes-Benz,EQS SUV 450+,540 km,219 Wh/km,"118,0 kWh"
BMW,i5 xDrive40 Sedan,455 km,178 Wh/km,"81,2 kWh"
Hyundai,Kona Electric 39 kWh,245 km,160 Wh/km,"39,2 kWh"
Volkswagen,ID.4 GTX,400 km,193 Wh/km,"77,0 kWh"
Citroen,e-Berlingo M 50 kWh,205 km,226 Wh/km,"46,3 kWh"
GWM,ORA 07 Pure,350 km,184 Wh/km,"64,3 kWh"
Dacia,Spring Electric 65 Extreme,160 km,156 Wh/km,"25,0 kWh"
Audi,Q4 e-tron 45 quattro,395 km,195 Wh/km,"77,0 kWh"
Peugeot,e-5008 73 kWh Dual Motor,360 km,203 Wh/km,"73,0 kWh"
Tesla,Model X Ludicrous Performance,420 km,226 Wh/km,"95,0 kWh"
Volkswagen,ID.4 Pure Performance,285 km,182 Wh/km,"52,0 kWh"
Dacia,Spring Electric,160 km,156 Wh/km,"25,0 kWh"
Peugeot,e-3008 73 kWh Dual Motor,375 km,195 Wh/km,"73,0 kWh"
Fisker,Ocean Extreme,490 km,217 Wh/km,"106,5 kWh"
Smart,#3 Pro,265 km,177 Wh/km,"47,0 kWh"
Ford,Mustang Mach-E ER AWD,440 km,207 Wh/km,"91,0 kWh"
Mercedes-Benz,EQE SUV AMG 43 4MATIC,425 km,213 Wh/km,"90,6 kWh"
Hyundai,IONIQ 5 Project 45,365 km,192 Wh/km,"70,0 kWh"
Ford,Mustang Mach-E SR RWD,380 km,191 Wh/km,"72,6 kWh"
Toyota,Proace City Verso Electric L1 50 kWh,235 km,213 Wh/km,"50,0 kWh"
Mercedes-Benz,EQT 200 Standard,225 km,200 Wh/km,"45,0 kWh"
Mitsubishi,i-MiEV,85 km,171 Wh/km,"14,5 kWh"
Dacia,Spring Electric,160 km,156 Wh/km,"25,0 kWh"
Mercedes-Benz,EQA 350 4MATIC,350 km,190 Wh/km,"66,5 kWh"
Citroen,e-Berlingo M 50 kWh,235 km,213 Wh/km,"50,0 kWh"
Volkswagen,e-Up!,95 km,168 Wh/km,"16,0 kWh"
Mercedes-Benz,EQB 250+,410 km,172 Wh/km,"70,5 kWh"
Mercedes-Benz,EQS AMG 53 4MATIC+,540 km,200 Wh/km,"107,8 kWh"
Volvo,C40 Recharge Single Motor,355 km,186 Wh/km,"66,0 kWh"
Smart,#3 Pro+,355 km,175 Wh/km,"62,0 kWh"
Lotus,Eletre S,480 km,227 Wh/km,"109,0 kWh"
Porsche,Taycan 4 Cross Turismo,510 km,190 Wh/km,"97,0 kWh"
Audi,Q6 e-tron Sportback,410 km,185 Wh/km,"75,8 kWh"
Tesla,Model S Performance,515 km,184 Wh/km,"95,0 kWh"
Mitsubishi,i-MiEV,85 km,171 Wh/km,"14,5 kWh"
Audi,e-tron 55 quattro,365 km,237 Wh/km,"86,5 kWh"
Mercedes-Benz,EQS 450 4MATIC,605 km,178 Wh/km,"107,8 kWh"
BMW,i5 xDrive40 Touring,445 km,182 Wh/km,"81,2 kWh"
Tesla,Model X P90D,375 km,228 Wh/km,"85,5 kWh"
Ford,Mustang Mach-E SR RWD,365 km,186 Wh/km,"68,0 kWh"
DS,3 Crossback E-Tense,265 km,175 Wh/km,"46,3 kWh"
Polestar,2 Long Range Performance,385 km,195 Wh/km,"75,0 kWh"
Skywell,BE11 Long Range,390 km,208 Wh/km,"81,0 kWh"
Peugeot,e-208 51 kWh,305 km,158 Wh/km,"48,1 kWh"
Volvo,EC40 Twin Motor,400 km,198 Wh/km,"79,0 kWh"
Audi,SQ8 e-tron,455 km,233 Wh/km,"106,0 kWh"
Ford,Mustang Mach-E ER RWD,465 km,189 Wh/km,"88,0 kWh"
Audi,Q4 Sportback e-tron 50 quattro,400 km,192 Wh/km,"76,6 kWh"
Mercedes-Benz,EQA 250+,420 km,168 Wh/km,"70,5 kWh"
Ford,Mustang Mach-E ER AWD,430 km,205 Wh/km,"88,0 kWh"
Volvo,C40 Recharge Single Motor ER,420 km,188 Wh/km,"79,0 kWh"
Peugeot,iOn,85 km,171 Wh/km,"14,5 kWh"
Nissan,e-NV200 Evalia,105 km,210 Wh/km,"22,0 kWh"
Opel,Vivaro-e Combi M 75 kWh,265 km,257 Wh/km,"68,0 kWh"
Audi,Q4 Sportback e-tron 55 quattro,415 km,186 Wh/km,"77,0 kWh"
Ford,Capri Standard Range RWD,320 km,163 Wh/km,"52,0 kWh"
